Date	Pound	Oz	Gramms
2014-01-28	7	4	3288.5446824
2014-02-01	6	9	2976.6999279
2014-02-03	7	1	3203.4961131
2014-02-10	7	1	3203.4961131
2014-02-13	7	10	3458.641821
2014-02-19	8	2	3685.4380062
2014-02-23	8	14	4025.6322834
2014-02-25	9	1	4110.6808531
2014-02-27	9	7	4280.7779917
2014-03-02	9	12	4422.5256072
2014-03-03	9	14	4479.2246534
2014-03-06	10	1	4564.2732231
2014-03-07	10	5	4677.6713155
2014-03-09	10	7	4734.3703617
2014-03-12	10	12	4876.1179772
2014-03-14	10	15	4961.1665465
2014-03-16	11	2	5046.2151162
2014-03-18	11	3	5074.5646393
2014-03-20	11	5	5131.2636855
2014-03-22	11	8	5216.3122548
2014-03-24	11	11	5301.3608241
2014-03-26	11	14	5386.4093934
2014-03-28	11	15	5414.7589165
2014-03-30	12	4	5556.5065324
2014-04-01	12	6	5613.2055786
2014-04-07	12	8	5669.9046248
2014-04-09	12	9	5698.2541479
2014-04-11	12	11	5754.9531941
2014-04-13	12	14	5840.0017634
2014-04-15	13	0	5896.70081
2014-04-17	13	2	5953.3998562
2014-04-19	13	5	6038.4484255
2014-04-21	13	9	6151.8465179
2014-04-23	13	11	6208.5455641
2014-04-25	13	13	6265.2446103
2014-04-27	13	14	6293.5941334
2014-04-29	13	15.5	6336.11841805
2014-05-01	14	2	6406.9922262
2014-05-03	14	4	6463.6912724
2014-05-05	14	10	6633.788411
2014-05-07	14	6.5	6534.56508015
2014-05-09	14	10	6633.788411
2014-05-11	14	10	6633.788411
2014-05-15	15	0	6803.88555
2014-05-20	15	4	6917.2836424
2014-05-25	15	10	7087.380781
2014-06-19	17	3	7796.1188593
2014-06-26	17	6	7881.1674286
2014-07-01	17	10	7994.565521
2014-07-08	18	2	8221.3617062
2014-07-12	18	3	8249.7112293
2014-07-16	18	5	8306.4102755
2014-07-24	19	0	8618.25503
2014-07-30	18	13	8533.2064603
2014-08-04	18	14.5	8575.73074495
2014-08-12	19	7	8816.7016917
2014-08-20	19	7	8816.7016917
2014-09-01	19	11	8930.0997841
2014-09-12	20	1	9100.1969231
